"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2013","Athletics","2313","6209","186","767","725","74","9.2 %","19.0 %",".165",".289",".254",".327",".419",".327","108","10.0","66.2","-32.4","25.4"
"2016","Blue Jays","2349","6233","221","759","728","54","10.1 %","21.9 %",".178",".289",".248",".330",".426",".327","104","-9.0","21.9","8.8","25.1"
"2018","Cubs","2490","6369","167","761","722","66","9.0 %","21.8 %",".152",".313",".258",".333",".410",".321","100","2.2","-0.9","44.0","25.1"
"2010","Cardinals","2347","6241","150","736","689","79","8.7 %","16.5 %",".139",".296",".263",".332",".402",".322","99","1.8","-6.8","59.6","25.0"
"2010","Red Sox","2327","6356","211","818","782","68","9.2 %","17.9 %",".183",".299",".268",".339",".451",".345","109","-7.2","59.7","-43.4","24.9"
"2019","Cubs","2429","6195","256","814","783","45","9.4 %","23.6 %",".200",".297",".252",".331",".452",".330","102","-2.2","10.3","45.0","24.9"
"2016","Indians","2366","6155","185","777","733","134","8.6 %","20.2 %",".168",".304",".262",".329",".430",".326","100","15.8","14.1","16.8","24.9"
"2014","Tigers","2330","6202","155","757","731","106","7.1 %","18.4 %",".150",".319",".277",".331",".426",".331","112","-7.3","73.0","-41.9","24.8"
"2015","Mets","2325","6145","177","683","654","51","7.9 %","21.0 %",".156",".287",".244",".312",".400",".309","98","6.2","-6.8","48.7","24.6"
"2018","Angels","2467","6108","214","721","690","89","8.4 %","21.3 %",".171",".277",".242",".313",".413",".313","100","2.8","-1.1","36.7","24.4"
"2017","Nationals","2322","6214","215","819","796","108","8.7 %","21.4 %",".183",".311",".266",".332",".449",".331","99","11.9","2.4","38.7","24.4"
"2019","Brewers","2514","6309","250","769","744","101","10.0 %","24.8 %",".192",".296",".246",".329",".438",".324","97","5.9","-20.2","64.6","24.2"
"2015","Pirates","2431","6285","140","697","661","98","7.3 %","21.0 %",".136",".314",".260",".323",".396",".313","97","3.5","-17.4","49.6","24.0"
"2012","Reds","2211","6115","172","669","636","87","7.9 %","20.7 %",".159",".296",".251",".315",".411",".314","93","13.5","-36.0","78.9","23.9"
"2018","Nationals","2441","6288","191","771","737","119","10.0 %","20.5 %",".164",".297",".254",".335",".419",".325","100","8.4","11.5","22.2","23.8"
"2011","Angels","2187","6088","155","667","629","135","7.3 %","17.8 %",".149",".288",".253",".313",".402",".313","98","-3.8","-14.6","38.0","23.8"
"2010","Blue Jays","2206","6072","257","755","732","58","7.8 %","19.2 %",".206",".269",".248",".312",".454",".334","105","-12.3","25.1","-9.9","23.7"
"2012","Rays","2406","6105","175","697","665","134","9.4 %","21.7 %",".155",".284",".240",".317",".394",".311","100","-0.7","-1.0","20.8","23.7"
"2012","Nationals","2338","6221","194","731","688","105","7.7 %","21.3 %",".166",".308",".261",".322",".428",".324","101","-4.1","4.7","33.0","23.7"
"2016","Astros","2334","6204","198","724","689","102","8.9 %","23.4 %",".170",".298",".247",".319",".417",".317","101","-5.4","2.8","14.6","23.7"
"2010","Braves","2376","6252","139","738","699","63","10.1 %","18.2 %",".143",".301",".258",".339",".401",".327","100","-2.1","-2.9","41.9","23.6"
"2010","Padres","2352","6148","132","665","630","124","8.8 %","19.2 %",".125",".290",".246",".317",".371",".304","92","9.3","-50.2","91.9","23.6"
"2015","Cardinals","2406","6139","137","647","619","69","8.2 %","20.6 %",".142",".303",".253",".321",".394",".311","97","0.9","-21.2","53.8","23.6"
"2010","Tigers","2274","6312","152","751","717","69","8.7 %","18.2 %",".147",".311",".268",".335",".415",".330","102","9.7","23.9","-18.7","23.6"
"2019","Mets","2445","6290","242","791","767","56","8.2 %","22.0 %",".185",".299",".257",".328",".442",".325","104","-17.0","16.4","21.3","23.5"
"2019","Diamondbacks","2418","6315","220","813","778","88","8.6 %","21.5 %",".182",".293",".252",".323",".434",".319","94","18.3","-32.1","68.5","23.4"
"2016","Mets","2430","6115","218","671","649","42","8.5 %","21.3 %",".171",".282",".246",".316",".417",".315","99","-8.6","-17.7","55.9","23.4"
"2018","Rays","2371","6195","150","716","664","128","8.7 %","22.4 %",".148",".317",".258",".333",".406",".322","106","-0.3","45.9","-23.7","23.4"
"2012","Rangers","2236","6216","200","808","780","91","7.7 %","17.7 %",".173",".306",".273",".334",".446",".336","106","-5.8","39.5","-27.3","23.3"
"2010","Phillies","2277","6291","166","772","736","108","8.9 %","16.9 %",".153",".292",".260",".332",".413",".327","99","13.3","5.5","27.4","23.1"
"2011","Tigers","2309","6231","169","787","750","49","8.4 %","18.3 %",".157",".318",".277",".340",".434",".337","109","-15.2","48.5","-36.5","23.1"
"2019","Rays","2459","6285","217","769","730","94","8.6 %","23.8 %",".178",".306",".254",".325",".431",".321","102","8.4","27.8","-13.0","23.0"
"2013","Pirates","2369","6135","161","634","603","94","7.6 %","21.7 %",".151",".294",".245",".313",".396",".312","99","1.8","-3.4","30.8","22.8"
"2017","Mets","2396","6169","224","735","713","58","8.6 %","20.9 %",".184",".286",".250",".320",".434",".322","101","-11.3","-7.2","32.1","22.6"
"2013","Brewers","2335","6064","157","640","610","142","6.7 %","19.5 %",".145",".294",".252",".311",".398",".311","91","-6.9","-66.0","94.0","22.6"
"2013","Indians","2337","6165","171","745","711","117","9.1 %","20.8 %",".155",".300",".255",".327",".410",".324","104","11.5","39.3","-29.5","22.6"
"2013","Reds","2286","6293","155","698","664","67","9.3 %","19.8 %",".142",".293",".249",".327",".391",".316","96","-2.0","-32.9","52.4","22.5"
"2019","Cardinals","2413","6167","210","764","714","116","9.1 %","23.0 %",".170",".292",".245",".322",".415",".314","95","14.4","-30.6","61.4","22.4"
"2016","Nationals","2302","6202","203","763","735","121","8.6 %","20.2 %",".170",".293",".256",".325",".426",".322","96","16.0","-16.7","41.2","22.2"
"2014","Blue Jays","2397","6167","177","723","690","78","8.1 %","18.7 %",".155",".295",".259",".323",".414",".325","107","0.0","44.9","-37.0","22.2"
"2016","Cardinals","2400","6223","225","779","745","35","8.5 %","21.2 %",".187",".294",".255",".325",".443",".329","105","-17.1","18.9","2.8","22.0"
"2010","Rangers","2312","6302","162","787","740","123","8.1 %","15.6 %",".143",".307",".276",".338",".419",".333","98","4.5","-7.1","-4.1","21.8"
"2015","Royals","2263","6116","139","724","689","104","6.3 %","15.9 %",".144",".301",".269",".322",".412",".318","99","-0.3","-8.3","13.8","21.8"
"2010","Diamondbacks","2271","6183","180","713","691","86","9.5 %","24.7 %",".166",".312",".250",".325",".416",".325","93","-8.3","-62.8","85.8","21.8"
"2012","Diamondbacks","2213","6150","165","734","710","93","8.8 %","20.6 %",".159",".307",".259",".328",".418",".323","97","-5.6","-30.7","52.0","21.8"
"2017","Rays","2345","6147","228","694","671","88","8.9 %","25.0 %",".178",".296",".245",".317",".422",".316","99","11.2","1.1","6.5","21.7"
"2015","Rangers","2358","6187","172","751","707","101","8.1 %","19.9 %",".156",".300",".257",".325",".413",".321","98","21.6","4.8","-3.0","21.6"
"2017","Mariners","2323","6166","200","750","714","89","7.9 %","20.5 %",".165",".300",".259",".325",".424",".321","103","-12.6","7.2","-0.8","21.6"
"2012","Padres","2384","6112","121","651","610","155","8.8 %","20.3 %",".133",".297",".247",".319",".380",".307","97","13.8","-8.4","29.1","21.6"
"2015","Diamondbacks","2393","6276","154","720","680","132","7.8 %","20.9 %",".150",".316",".264",".324",".414",".319","95","12.5","-23.3","32.6","21.6"
"2013","Angels","2311","6260","164","733","696","82","8.4 %","19.5 %",".150",".307",".264",".329",".414",".325","109","-9.7","54.8","-58.0","21.6"
"2012","Phillies","2294","6172","158","684","659","116","7.4 %","17.7 %",".144",".290",".255",".317",".400",".311","93","10.7","-40.8","58.9","21.5"
"2016","Mariners","2371","6227","223","768","735","56","8.1 %","20.7 %",".171",".297",".259",".326",".430",".325","108","-13.5","44.6","-51.2","21.3"
"2016","Marlins","2460","6133","128","655","626","71","7.3 %","19.8 %",".131",".314",".263",".322",".394",".309","95","2.4","-40.1","57.4","21.3"
"2014","Athletics","2358","6245","146","729","686","83","9.4 %","17.7 %",".137",".278",".244",".320",".381",".312","102","11.0","27.2","-30.4","21.2"
"2016","Tigers","2295","6127","211","750","719","58","8.0 %","21.3 %",".171",".312",".267",".331",".438",".330","106","-16.9","27.0","-31.9","21.1"
"2019","Phillies","2431","6261","215","774","742","78","9.0 %","23.2 %",".181",".293",".246",".319",".427",".314","91","13.8","-59.6","71.3","20.8"
"2014","Brewers","2327","6065","150","650","617","102","7.0 %","19.7 %",".147",".293",".250",".311",".397",".313","94","-12.1","-56.2","62.2","20.8"
"2016","Orioles","2257","6089","253","744","710","19","7.7 %","21.7 %",".188",".291",".256",".317",".443",".326","103","2.5","22.6","-29.8","20.7"
"2012","White Sox","2277","6111","211","748","726","109","7.5 %","19.7 %",".167",".289",".255",".318",".422",".322","98","-7.0","-18.2","8.7","20.7"
"2015","Yankees","2401","6268","212","764","737","63","8.8 %","19.6 %",".170",".283",".251",".323",".421",".323","103","3.0","25.3","-35.3","20.7"
"2012","Tigers","2248","6119","163","726","698","59","8.4 %","18.0 %",".154",".307",".268",".335",".422",".328","105","-17.8","15.4","-27.2","20.5"
"2010","Athletics","2255","6117","109","663","619","156","8.6 %","17.3 %",".122",".297",".256",".324",".378",".313","95","17.8","-20.6","1.0","20.3"
"2014","Rays","2352","6205","117","612","586","63","8.5 %","18.1 %",".120",".287",".247",".317",".367",".305","97","1.0","-19.9","9.5","20.3"
"2018","Diamondbacks","2409","6157","176","693","658","79","9.1 %","23.7 %",".162",".286",".235",".310",".397",".306","89","7.1","-76.0","79.2","20.3"
"2019","Angels","2425","6251","220","769","734","65","9.4 %","20.4 %",".175",".281",".247",".324",".422",".316","99","-6.1","-16.9","4.6","20.3"
"2012","Red Sox","2317","6166","165","734","695","97","6.9 %","19.4 %",".155",".301",".260",".315",".415",".316","95","2.6","-37.1","20.0","20.1"
"2011","Royals","2134","6267","129","730","705","153","7.1 %","16.1 %",".140",".311",".275",".329",".415",".325","101","0.7","4.5","-25.3","19.8"
"2019","Indians","2321","6124","223","769","731","103","9.2 %","21.8 %",".183",".289",".250",".323",".432",".319","94","4.3","-45.5","31.9","19.7"
"2013","Rangers","2321","6196","176","730","691","149","7.5 %","17.2 %",".150",".294",".262",".323",".412",".323","97","2.0","-22.5","3.9","19.7"
"2017","Diamondbacks","2360","6224","220","812","776","103","9.3 %","23.4 %",".190",".306",".254",".329",".445",".329","95","12.4","-27.9","21.1","19.7"
"2015","Rays","2479","6071","167","644","612","87","7.2 %","21.6 %",".154",".300",".252",".314",".406",".313","100","-13.4","-16.2","2.5","19.6"
"2011","Dodgers","2304","6094","117","644","613","126","8.2 %","17.8 %",".118",".299",".257",".322",".375",".307","95","10.2","-24.6","24.3","19.6"
"2017","Reds","2321","6213","219","753","715","120","9.1 %","21.4 %",".179",".294",".253",".329",".433",".325","95","-5.3","-47.4","38.7","19.4"
"2013","Royals","2236","6093","112","648","620","153","6.9 %","17.2 %",".119",".300",".260",".315",".379",".305","89","18.2","-57.4","39.6","19.4"
"2012","Athletics","2247","6183","195","713","676","122","8.9 %","22.4 %",".166",".281",".238",".310",".404",".311","97","19.4","0.3","-24.4","19.4"
"2013","Diamondbacks","2349","6334","130","685","647","62","8.2 %","18.0 %",".133",".301",".259",".323",".391",".314","93","-18.5","-69.4","59.4","19.4"
"2016","Angels","2419","6041","156","717","686","73","7.8 %","16.4 %",".145",".289",".260",".322",".405",".314","99","-16.8","-27.4","6.4","19.2"
"2016","Rays","2281","6046","216","672","647","60","7.4 %","24.5 %",".182",".293",".243",".307",".426",".315","98","-0.4","-13.0","-9.0","19.1"
"2015","Indians","2285","6109","141","669","640","86","8.7 %","18.9 %",".144",".299",".256",".325",".401",".315","97","8.1","-15.6","-4.5","19.1"
"2011","Phillies","2203","6279","153","713","693","96","8.6 %","16.3 %",".142",".283",".253",".323",".395",".315","96","3.5","-29.5","17.9","19.0"
"2016","Pirates","2458","6261","153","729","696","110","9.0 %","21.3 %",".144",".311",".257",".332",".402",".318","97","-6.7","-26.5","15.6","18.8"
"2017","Angels","2392","6073","186","710","678","136","8.6 %","19.7 %",".155",".277",".243",".315",".397",".307","92","1.4","-61.3","42.6","18.8"
"2014","Royals","2273","6058","95","651","604","153","6.3 %","16.3 %",".113",".302",".263",".314",".376",".306","92","4.8","-47.8","28.1","18.8"
"2013","Padres","2359","6122","146","618","578","118","7.6 %","21.4 %",".133",".294",".245",".308",".378",".302","94","8.8","-35.4","24.4","18.6"
"2016","Rockies","2369","6236","204","845","805","66","7.9 %","21.3 %",".182",".326",".275",".336",".457",".339","94","1.1","-45.0","32.2","18.5"
"2011","Braves","2322","6169","173","641","606","77","8.2 %","20.4 %",".144",".284",".243",".308",".387",".306","91","-4.8","-70.5","57.9","18.5"
"2018","Mariners","2373","6087","176","677","644","79","7.1 %","20.1 %",".154",".295",".254",".314",".408",".313","100","-7.0","-6.8","-17.4","18.2"
"2017","Red Sox","2334","6338","168","785","735","106","9.0 %","19.3 %",".149",".300",".258",".329",".407",".316","91","4.9","-64.0","30.2","18.2"
"2011","Giants","2370","6091","121","570","534","85","7.4 %","18.4 %",".126",".281",".242",".303",".368",".295","88","-6.5","-87.9","74.2","18.1"
"2014","Yankees","2288","6082","147","633","591","112","7.4 %","18.6 %",".135",".282",".245",".307",".380",".305","94","3.2","-38.5","11.7","18.1"
"2014","Cardinals","2324","6086","105","619","585","57","7.7 %","18.6 %",".116",".300",".253",".320",".369",".308","95","-15.5","-49.0","29.9","18.1"
"2015","Red Sox","2268","6237","161","748","706","71","7.7 %","18.4 %",".149",".305",".265",".325",".415",".321","99","1.4","-5.9","-28.9","17.9"
"2015","Nationals","2245","6117","177","703","665","57","8.8 %","22.0 %",".151",".300",".251",".321",".403",".315","96","-2.3","-29.7","9.4","17.9"
"2014","Mets","2294","6145","125","629","602","101","8.4 %","20.6 %",".126",".286",".239",".308",".364",".299","92","-0.4","-56.0","32.6","17.8"
"2018","Pirates","2293","6066","157","692","665","70","7.8 %","20.3 %",".154",".298",".254",".317",".407",".312","95","-13.3","-47.6","29.1","17.7"
"2015","Orioles","2249","6007","217","713","686","44","7.0 %","22.2 %",".171",".291",".250",".307",".421",".315","97","-4.9","-23.9","-5.9","17.7"
"2013","Nationals","2241","6047","161","656","621","88","7.7 %","19.7 %",".146",".292",".251",".313",".398",".311","94","3.1","-34.7","16.3","17.6"
"2017","Athletics","2350","6126","234","739","708","57","9.2 %","24.3 %",".190",".294",".246",".319",".436",".323","103","-5.5","19.9","-53.6","17.5"
"2015","Mariners","2407","6131","198","656","624","69","7.8 %","21.8 %",".162",".292",".249",".311",".411",".313","100","-23.1","-20.7","-15.8","17.4"
"2014","Red Sox","2283","6226","123","634","601","63","8.6 %","21.5 %",".124",".297",".244",".316",".369",".305","89","-8.1","-83.0","44.8","17.3"
"2017","Brewers","2423","6135","224","732","695","128","8.9 %","25.6 %",".180",".308",".249",".322",".429",".321","94","2.4","-48.6","20.7","17.3"
"2011","Mets","2383","6335","108","718","676","130","9.0 %","17.1 %",".127",".307",".264",".335",".391",".319","102","11.1","25.0","-55.1","17.2"
"2015","Tigers","2340","6159","151","689","660","83","7.4 %","20.4 %",".150",".322",".270",".328",".420",".324","103","-27.6","-8.6","-31.6","17.1"
"2015","Angels","2459","5990","176","661","621","52","7.3 %","19.2 %",".150",".280",".246",".307",".396",".305","95","0.5","-37.0","2.3","17.1"
"2014","Rockies","2387","6164","186","755","721","85","6.4 %","20.8 %",".169",".326",".276",".327",".445",".337","97","-12.3","-33.1","2.2","17.0"
"2013","Blue Jays","2314","6152","185","712","669","112","8.3 %","18.3 %",".158",".284",".252",".318",".411",".320","99","3.8","-2.8","-39.1","17.0"
"2011","Nationals","2341","6090","154","624","594","106","7.7 %","21.7 %",".140",".292",".242",".309",".383",".305","89","3.7","-73.4","45.6","16.6"
"2014","Marlins","2311","6185","122","645","614","58","8.1 %","22.9 %",".125",".316",".253",".317",".378",".307","95","-5.6","-42.3","7.0","16.6"
"2018","Reds","2402","6240","172","696","665","77","9.0 %","22.1 %",".148",".307",".254",".328",".401",".317","95","-1.9","-44.0","8.6","16.6"
"2010","Nationals","2410","6100","149","655","634","110","8.2 %","20.0 %",".140",".294",".250",".318",".390",".313","90","-11.3","-84.4","59.9","16.6"
"2013","Mets","2378","6207","130","619","593","114","8.2 %","22.3 %",".129",".291",".237",".306",".366",".297","90","23.0","-49.2","16.1","16.5"
"2015","Reds","2337","6196","167","640","613","134","8.0 %","20.3 %",".146",".290",".248",".312",".394",".307","91","10.9","-52.1","16.1","16.5"
"2019","Mariners","2347","6199","239","758","730","115","9.5 %","25.5 %",".187",".287",".237",".316",".424",".314","98","13.4","0.0","-50.2","16.4"
"2015","Padres","2396","6019","148","650","623","82","7.1 %","22.0 %",".142",".292",".243",".300",".385",".298","90","5.0","-63.2","31.5","16.4"
"2014","Mariners","2333","5977","136","634","600","96","6.6 %","20.6 %",".132",".290",".244",".300",".376",".299","94","3.2","-37.5","-1.5","16.4"
"2018","Rockies","2368","6178","210","780","748","95","8.2 %","22.6 %",".179",".304",".256",".322",".435",".325","88","3.2","-88.7","53.2","16.4"
"2016","Rangers","2324","6089","215","765","746","99","7.2 %","20.0 %",".172",".298",".262",".322",".433",".324","95","2.0","-37.0","-14.5","16.2"
"2014","Twins","2292","6233","128","715","675","99","8.7 %","21.3 %",".135",".309",".254",".324",".389",".316","100","20.9","23.8","-72.6","16.2"
"2018","Twins","2351","6154","166","738","704","47","8.7 %","21.6 %",".155",".298",".250",".318",".405",".313","96","0.6","-30.6","-17.4","16.0"
"2010","Marlins","2300","6194","152","719","686","92","8.3 %","22.2 %",".149",".309",".254",".321",".403",".318","92","22.5","-36.2","2.7","15.9"
"2012","Mets","2420","6091","139","650","625","79","8.3 %","20.5 %",".137",".298",".249",".316",".386",".306","94","-3.2","-48.8","16.1","15.9"
"2017","Braves","2374","6216","165","732","706","77","7.6 %","19.0 %",".150",".305",".263",".326",".412",".316","90","4.3","-79.8","35.0","15.9"
"2010","White Sox","2212","6118","177","752","710","160","7.6 %","15.1 %",".152",".292",".268",".332",".420",".332","100","-8.1","-7.7","-56.3","15.7"
"2016","Diamondbacks","2399","6260","190","752","709","137","7.4 %","22.8 %",".171",".315",".261",".320",".432",".321","93","17.7","-39.9","-2.1","15.6"
